# Observer      : 3
# Position      : (1.80000000e-01 1.50000000e-01 -1.00000000e-02)
# Time          	p(Curle)        
100             1.01039920e-09
100.01          1.45307329e-09
100.02          1.85462407e-09
100.03          2.30239114e-09
100.04          2.75874137e-09
100.05          3.21045361e-09
100.06          3.70077949e-09
100.07          4.17672474e-09
100.08          4.62152606e-09
100.09          5.10402021e-09
100.1           5.59323132e-09
100.11          6.07273421e-09
100.12          6.59547177e-09
100.13          7.13369956e-09
100.14          7.64983688e-09
100.15          8.18546589e-09
100.16          8.66313876e-09
100.17          9.20666276e-09
100.18          9.72237453e-09
100.19          1.02679670e-08
100.2           1.08401088e-08
100.21          1.14039357e-08
100.22          1.19328787e-08
100.23          1.24812683e-08
100.24          1.30784521e-08
100.25          1.36817416e-08
100.26          1.42522998e-08
100.27          1.48411299e-08
100.28          1.54528041e-08
100.29          1.60619142e-08
100.3           1.66353160e-08
100.31          1.72640940e-08
100.32          1.79019333e-08
100.33          1.85480744e-08
100.34          1.91878122e-08
100.35          1.97811821e-08
100.36          2.04295116e-08
100.37          2.11005489e-08
100.38          2.17718993e-08
100.39          2.24308879e-08
100.4           2.31059407e-08
100.41          2.37665851e-08
100.42          2.44718873e-08
100.43          2.51566131e-08
100.44          2.58320834e-08
100.45          2.65501664e-08
100.46          2.72628433e-08
100.47          2.79371300e-08
100.48          2.86713044e-08
100.49          2.94047814e-08
100.5           3.01162530e-08
100.51          3.08784494e-08
100.52          3.16252050e-08
100.53          3.23311851e-08
100.54          3.30935589e-08
100.55          3.38394473e-08
100.56          3.46047591e-08
100.57          3.53673410e-08
100.58          3.61238799e-08
100.59          3.69388534e-08
100.6           3.77017629e-08
100.61          3.84703194e-08
100.62          3.92679389e-08
100.63          4.00670481e-08
100.64          4.08660121e-08
100.65          4.16982075e-08
100.66          4.25200995e-08
100.67          4.32980612e-08
100.68          4.41494444e-08
100.69          4.49499157e-08
100.7           4.57851426e-08
100.71          4.66333408e-08
100.72          4.74825683e-08
100.73          4.83320776e-08
100.74          4.91937914e-08
100.75          5.00205246e-08
100.76          5.08964743e-08
100.77          5.17515480e-08
100.78          5.26269867e-08
100.79          5.35117720e-08
100.8           5.43913786e-08
100.81          5.53136189e-08
100.82          5.61506186e-08
100.83          5.70394821e-08
100.84          5.79241837e-08
100.85          5.88566311e-08
100.86          5.97273791e-08
100.87          6.06695771e-08
100.88          6.15871216e-08
100.89          6.25231569e-08
100.9           6.34073277e-08
100.91          6.43522123e-08
100.92          6.52480793e-08
100.93          6.62326871e-08
100.94          6.71566036e-08
100.95          6.80945013e-08
100.96          6.90729064e-08
100.97          7.00157911e-08
100.98          7.09362461e-08
100.99          7.19070875e-08
101             7.28696926e-08
101.01          7.38399514e-08
101.02          7.48424522e-08
101.03          7.57847713e-08
101.04          7.67919671e-08
101.05          7.77859249e-08
101.06          7.87508352e-08
101.07          7.97264635e-08
101.08          8.07327123e-08
101.09          8.17214760e-08
101.1           8.27447308e-08
101.11          8.37326841e-08
101.12          8.47540978e-08
101.13          8.57619115e-08
101.14          8.67670735e-08
101.15          8.77537684e-08
101.16          8.87807318e-08
101.17          8.97934612e-08
101.18          9.08508937e-08
101.19          9.18638661e-08
101.2           9.28971075e-08
101.21          9.39433215e-08
101.22          9.49870915e-08
101.23          9.59826861e-08
101.24          9.70486599e-08
101.25          9.80867424e-08
101.26          9.91626256e-08
101.27          1.00157751e-07
101.28          1.01235195e-07
101.29          1.02291331e-07
101.3           1.03356634e-07
101.31          1.04405372e-07
101.32          1.05473702e-07
101.33          1.06515735e-07
101.34          1.07611528e-07
101.35          1.08649643e-07
101.36          1.09729158e-07
101.37          1.10825797e-07
101.38          1.11899211e-07
101.39          1.12991069e-07
101.4           1.14046992e-07
101.41          1.15101849e-07
101.42          1.16198116e-07
101.43          1.17278266e-07
101.44          1.18354693e-07
101.45          1.19453897e-07
101.46          1.20562124e-07
101.47          1.21655157e-07
101.48          1.22746131e-07
101.49          1.23808649e-07
101.5           1.24930298e-07
101.51          1.26022164e-07
101.52          1.27113733e-07
101.53          1.28203393e-07
101.54          1.29344951e-07
101.55          1.30416890e-07
101.56          1.31537680e-07
101.57          1.32643409e-07
101.58          1.33729195e-07
101.59          1.34821709e-07
101.6           1.35929672e-07
101.61          1.37046252e-07
101.62          1.38163148e-07
101.63          1.39281453e-07
101.64          1.40408445e-07
101.65          1.41540162e-07
101.66          1.42617723e-07
101.67          1.43709781e-07
101.68          1.44839998e-07
101.69          1.45938796e-07
101.7           1.47047559e-07
101.71          1.48181794e-07
101.72          1.49296413e-07
101.73          1.50421543e-07
101.74          1.51547556e-07
101.75          1.52634448e-07
101.76          1.53751515e-07
101.77          1.54877008e-07
101.78          1.55984345e-07
101.79          1.57098563e-07
101.8           1.58234200e-07
101.81          1.59369727e-07
101.82          1.60462864e-07
101.83          1.61603166e-07
