# Observer      : 0
# Position      : (2.00000000e-01 1.70000000e-01 -1.00000000e-02)
# Time          	p(Curle)        
100             2.25202654e-07
100.01          2.25838314e-07
100.02          2.26423454e-07
100.03          2.27069547e-07
100.04          2.27730505e-07
100.05          2.28378239e-07
100.06          2.29088706e-07
100.07          2.29775426e-07
100.08          2.30417127e-07
100.09          2.31111638e-07
100.1           2.31817436e-07
100.11          2.32502201e-07
100.12          2.33250911e-07
100.13          2.34019683e-07
100.14          2.34760050e-07
100.15          2.35528855e-07
100.16          2.36218309e-07
100.17          2.36992481e-07
100.18          2.37734759e-07
100.19          2.38516749e-07
100.2           2.39331648e-07
100.21          2.40139037e-07
100.22          2.40898843e-07
100.23          2.41682060e-07
100.24          2.42532539e-07
100.25          2.43391681e-07
100.26          2.44206624e-07
100.27          2.45046356e-07
100.28          2.45915241e-07
100.29          2.46783919e-07
100.3           2.47603162e-07
100.31          2.48496903e-07
100.32          2.49410148e-07
100.33          2.50323125e-07
100.34          2.51232529e-07
100.35          2.52080702e-07
100.36          2.53000105e-07
100.37          2.53952983e-07
100.38          2.54905520e-07
100.39          2.55842410e-07
100.4           2.56799417e-07
100.41          2.57737230e-07
100.42          2.58736789e-07
100.43          2.59708014e-07
100.44          2.60665182e-07
100.45          2.61677664e-07
100.46          2.62691982e-07
100.47          2.63650630e-07
100.48          2.64688351e-07
100.49          2.65728073e-07
100.5           2.66736478e-07
100.51          2.67808676e-07
100.52          2.68860331e-07
100.53          2.69864440e-07
100.54          2.70939062e-07
100.55          2.71990220e-07
100.56          2.73073073e-07
100.57          2.74151935e-07
100.58          2.75223313e-07
100.59          2.76366632e-07
100.6           2.77443085e-07
100.61          2.78522045e-07
100.62          2.79651797e-07
100.63          2.80779258e-07
100.64          2.81906124e-07
100.65          2.83076300e-07
100.66          2.84232764e-07
100.67          2.85323814e-07
100.68          2.86521901e-07
100.69          2.87649463e-07
100.7           2.88827053e-07
100.71          2.90020419e-07
100.72          2.91215729e-07
100.73          2.92411600e-07
100.74          2.93622284e-07
100.75          2.94785776e-07
100.76          2.96013536e-07
100.77          2.97213566e-07
100.78          2.98441727e-07
100.79          2.99689215e-07
100.8           3.00924604e-07
100.81          3.02219382e-07
100.82          3.03393740e-07
100.83          3.04639471e-07
100.84          3.05881440e-07
100.85          3.07189269e-07
100.86          3.08413438e-07
100.87          3.09738295e-07
100.88          3.11023605e-07
100.89          3.12334454e-07
100.9           3.13572561e-07
100.91          3.14894205e-07
100.92          3.16151272e-07
100.93          3.17529562e-07
100.94          3.18824892e-07
100.95          3.20139772e-07
100.96          3.21508758e-07
100.97          3.22829303e-07
100.98          3.24117132e-07
100.99          3.25475072e-07
101             3.26822451e-07
101.01          3.28177487e-07
101.02          3.29581063e-07
101.03          3.30901655e-07
101.04          3.32308828e-07
101.05          3.33701232e-07
101.06          3.35049487e-07
101.07          3.36410523e-07
101.08          3.37816826e-07
101.09          3.39199393e-07
101.1           3.40630376e-07
101.11          3.42009768e-07
101.12          3.43438035e-07
101.13          3.44845235e-07
101.14          3.46248542e-07
101.15          3.47626789e-07
101.16          3.49057710e-07
101.17          3.50474520e-07
101.18          3.51952818e-07
101.19          3.53367319e-07
101.2           3.54808103e-07
101.21          3.56268561e-07
101.22          3.57726015e-07
101.23          3.59114428e-07
101.24          3.60599353e-07
101.25          3.62050433e-07
101.26          3.63550425e-07
101.27          3.64939712e-07
101.28          3.66439717e-07
101.29          3.67913016e-07
101.3           3.69397478e-07
101.31          3.70860810e-07
101.32          3.72349228e-07
101.33          3.73803545e-07
101.34          3.75330110e-07
101.35          3.76777311e-07
101.36          3.78281468e-07
101.37          3.79808896e-07
101.38          3.81306695e-07
101.39          3.82827525e-07
101.4           3.84298004e-07
101.41          3.85766631e-07
101.42          3.87292751e-07
101.43          3.88797913e-07
101.44          3.90296922e-07
101.45          3.91825442e-07
101.46          3.93370709e-07
101.47          3.94892730e-07
101.48          3.96409991e-07
101.49          3.97889269e-07
101.5           3.99450532e-07
101.51          4.00971234e-07
101.52          4.02489702e-07
101.53          4.04005701e-07
101.54          4.05593876e-07
101.55          4.07085477e-07
101.56          4.08642995e-07
101.57          4.10180818e-07
101.58          4.11692986e-07
101.59          4.13210359e-07
101.6           4.14751857e-07
101.61          4.16304947e-07
101.62          4.17859477e-07
101.63          4.19413158e-07
101.64          4.20980451e-07
101.65          4.22552888e-07
101.66          4.24051685e-07
101.67          4.25569286e-07
101.68          4.27139650e-07
101.69          4.28665849e-07
101.7           4.30208395e-07
101.71          4.31784516e-07
101.72          4.33330767e-07
101.73          4.34892139e-07
101.74          4.36458310e-07
101.75          4.37969693e-07
101.76          4.39520253e-07
101.77          4.41083741e-07
101.78          4.42621607e-07
101.79          4.44168734e-07
101.8           4.45743242e-07
101.81          4.47324500e-07
101.82          4.48839698e-07
101.83          4.50427735e-07
101.84          4.51957129e-07
101.85          4.53488286e-07
101.86          4.55018613e-07
101.87          4.56618170e-07
101.88          4.58151673e-07
101.89          4.59703410e-07
101.9           4.61264867e-07
101.91          4.62815005e-07
101.92          4.64370523e-07
101.93          4.65900312e-07
101.94          4.67453056e-07
101.95          4.68954344e-07
101.96          4.70481019e-07
101.97          4.71980666e-07
101.98          4.73541496e-07
101.99          4.75082420e-07
102             4.76632615e-07
102.01          4.78178515e-07
102.02          4.79681098e-07
102.03          4.81200015e-07
102.04          4.82735894e-07
102.05          4.84252613e-07
102.06          4.85772522e-07
102.07          4.87327519e-07
102.08          4.88816406e-07
102.09          4.90343029e-07
102.1           4.91836301e-07
102.11          4.93347325e-07
102.12          4.94855841e-07
102.13          4.96377438e-07
102.14          4.97887081e-07
102.15          4.99376490e-07
102.16          5.00894621e-07
102.17          5.02402213e-07
102.18          5.03900433e-07
102.19          5.05396929e-07
102.2           5.06861110e-07
102.21          5.08329799e-07
102.22          5.09797581e-07
102.23          5.11271169e-07
102.24          5.12751615e-07
102.25          5.14252491e-07
102.26          5.15731823e-07
102.27          5.17213302e-07
102.28          5.18663703e-07
102.29          5.20123611e-07
102.3           5.21564191e-07
102.31          5.23020436e-07
102.32          5.24472688e-07
102.33          5.25887314e-07
102.34          5.27350534e-07
102.35          5.28788314e-07
102.36          5.30239907e-07
102.37          5.31652879e-07
102.38          5.33086810e-07
102.39          5.34503235e-07
102.4           5.35909866e-07
102.41          5.37331157e-07
102.42          5.38726209e-07
102.43          5.40166684e-07
102.44          5.41579522e-07
102.45          5.42941089e-07
102.46          5.44363464e-07
102.47          5.45716199e-07
102.48          5.47086392e-07
102.49          5.48456099e-07
102.5           5.49842812e-07
102.51          5.51195316e-07
102.52          5.52582750e-07
102.53          5.53948226e-07
102.54          5.55308170e-07
102.55          5.56692953e-07
102.56          5.58056073e-07
102.57          5.59349995e-07
102.58          5.60675031e-07
102.59          5.62007938e-07
102.6           5.63315230e-07
102.61          5.64664049e-07
102.62          5.66041385e-07
102.63          5.67333912e-07
102.64          5.68539385e-07
102.65          5.69847857e-07
102.66          5.71136777e-07
102.67          5.72422494e-07
102.68          5.73706799e-07
102.69          5.74940535e-07
102.7           5.76228898e-07
102.71          5.77520973e-07
102.72          5.78762720e-07
102.73          5.79995382e-07
102.74          5.81263577e-07
102.75          5.82497087e-07
102.76          5.83703491e-07
102.77          5.84949592e-07
102.78          5.86150931e-07
102.79          5.87398301e-07
102.8           5.88615482e-07
102.81          5.89771414e-07
102.82          5.90981177e-07
102.83          5.92143091e-07
102.84          5.93312400e-07
102.85          5.94501556e-07
102.86          5.95665084e-07
102.87          5.96818650e-07
102.88          5.97979045e-07
102.89          5.99142312e-07
102.9           6.00283808e-07
102.91          6.01439597e-07
102.92          6.02506463e-07
102.93          6.03611713e-07
102.94          6.04723136e-07
102.95          6.05807446e-07
102.96          6.06915284e-07
102.97          6.08030193e-07
102.98          6.09122787e-07
102.99          6.10182894e-07
103             6.11275999e-07
103.01          6.12296602e-07
103.02          6.13346437e-07
103.03          6.14375011e-07
103.04          6.15403167e-07
103.05          6.16406364e-07
103.06          6.17440490e-07
103.07          6.18453479e-07
103.08          6.19514685e-07
103.09          6.20542618e-07
103.1           6.21482691e-07
103.11          6.22459782e-07
103.12          6.23452753e-07
103.13          6.24428318e-07
103.14          6.25377622e-07
103.15          6.26251255e-07
103.16          6.27208447e-07
103.17          6.28142698e-07
103.18          6.29077987e-07
103.19          6.29965917e-07
103.2           6.30878059e-07
103.21          6.31758343e-07
103.22          6.32638984e-07
103.23          6.33539152e-07
103.24          6.34454165e-07
103.25          6.35292692e-07
103.26          6.36147883e-07
103.27          6.36977571e-07
103.28          6.37788759e-07
103.29          6.38639200e-07
103.3           6.39449552e-07
103.31          6.40259864e-07
103.32          6.41038539e-07
103.33          6.41872271e-07
103.34          6.42655939e-07
103.35          6.43446174e-07
103.36          6.44183585e-07
103.37          6.44904608e-07
103.38          6.45653438e-07
103.39          6.46383504e-07
103.4           6.47118182e-07
103.41          6.47852964e-07
103.42          6.48570307e-07
103.43          6.49255337e-07
103.44          6.49970835e-07
103.45          6.50649567e-07
103.46          6.51282435e-07
103.47          6.51931156e-07
103.48          6.52584968e-07
103.49          6.53202124e-07
103.5           6.53866892e-07
103.51          6.54507384e-07
103.52          6.55120877e-07
103.53          6.55729353e-07
103.54          6.56296149e-07
103.55          6.56911083e-07
103.56          6.57492861e-07
103.57          6.58025625e-07
103.58          6.58570950e-07
103.59          6.59146541e-07
103.6           6.59630672e-07
103.61          6.60168658e-07
103.62          6.60715370e-07
103.63          6.61170375e-07
103.64          6.61670691e-07
103.65          6.62164219e-07
103.66          6.62638804e-07
103.67          6.63072906e-07
103.68          6.63555761e-07
103.69          6.64005524e-07
103.7           6.64421545e-07
103.71          6.64851836e-07
103.72          6.65247048e-07
103.73          6.65642289e-07
103.74          6.66017957e-07
103.75          6.66402865e-07
103.76          6.66783539e-07
103.77          6.67166933e-07
103.78          6.67490721e-07
103.79          6.67843144e-07
103.8           6.68141614e-07
103.81          6.68465357e-07
103.82          6.68782070e-07
103.83          6.69074485e-07
103.84          6.69362132e-07
103.85          6.69636326e-07
103.86          6.69932821e-07
103.87          6.70154362e-07
103.88          6.70397802e-07
103.89          6.70611265e-07
103.9           6.70824005e-07
103.91          6.71064100e-07
103.92          6.71251416e-07
103.93          6.71436013e-07
103.94          6.71628265e-07
103.95          6.71785012e-07
103.96          6.72000620e-07
103.97          6.72098223e-07
103.98          6.72177175e-07
103.99          6.72318593e-07
104             6.72469134e-07
104.01          6.72587174e-07
104.02          6.72662859e-07
104.03          6.72739174e-07
104.04          6.72793089e-07
104.05          6.72871013e-07
104.06          6.72897322e-07
104.07          6.72909686e-07
104.08          6.72929948e-07
104.09          6.72969314e-07
104.1           6.72964963e-07
104.11          6.72958867e-07
104.12          6.72952637e-07
104.13          6.72944159e-07
